en;ua
about;приблизно
above;вище
abuse;зловживання
adverb;прислівник
after;після
again;знову
against;проти
air;повітря
all;все
allow;дозволяють
also;також
always;завжди
ancient;давній
and;і
angry;злий
another;інший
any;будь-який
area;область
armchair;крісло
as;як
ask;запитати
at;в
back;назад
badly;погано
bag;сумка
ball;м'яч
base;база
be;бути
beatiful;красивий
because;тому що
began;почався
begin;почати
behind;ззаду
beside;поруч
between;між
black;чорний
blouse;блузка
body;тіло
book;книга
both;обидва
bowl;чаша
bring;принести
business;бізнес
but;але
by;за
call;виклик
can;може
car;автомобіль
care;догляд
carry;нести
case;справа
cause;причина
chair;стілець
change;змінити
check;перевірка
check;перевірити
child;дитина
children;дітей
city;місто
clock;годинник
close;закрити
coat;пальто
color;колір
come;прийти
community;громада
company;компанії
connect;підключити
consonant;приголосний
could;міг би
country;країна
cover;кришка
cross;хрестик
cup;чашка
cushions;подушки
cut;вирізати
dark blue;темно-синій
dark brown;темно-коричневий
dark gray;темно-сірий
dark green;темно-зелений
day;день
difiicult;важко
do;робити
doing;робити
don't;не треба
door;двері
draft;проект
drag;перетягнути
draw;малювати
dress;плаття
drive;диск
during;протягом
ease;легкість
easier;легше
eat;їсти
education;освіти
elephant;слон
end;кінець
environment;навколишнє середовище
environment;середовище
even;навіть
example;приклад
excellent;відмінно
expect;очікувати
eye;око
face;обличчя
fact;факт
family;родина
far;далеко
farm;ферма
father;батько
feel;відчувати
feet;ноги
few;мало
finish;закінчити
first;перший
fish;риба
flat;плоский
food;харчування
for;для
for a solid;для твердого
force;сила
forget;забути
four;чотири
friend;друг
from;від
game;гра
get;отримати
girl;дівчина
give;дати
glass;скло
glasses;окуляри
go;йти
goat;коза
good;добре
got;отримав
goverment;уряд
great;чудово
greeting appropriate;привітання відповідне
group;група
guess;вгадати
guy;хлопець
hand;руку
hard;важко
hat;капелюх
have;мати
he;він
head;голова
health;здоров'я
healthy;здоровий
hear;чути
help;допомогти
her;її
here;тут
him;його
his;його
history;історії
hold;утримувати
home;додому
horse;кінь
hour;година
house;будинок
how;як
huge;величезний
i;я
if;якщо
ill;хворий
improvements;покращення
improves;покращує
in;в
in frontof;перед
information;інформації
into;в
issue;питання
it;це
its;його
jacket;піджак
jeans;джинси
jellyfish;медузи
job;робота
join;приєднатися
just;просто
keep;зберегти
kid;дитина
kind;вид
know;знати
lamp;лампа
large;великий
large-scale;великомасштабні
last;останній
late;пізно
laugh at;сміятися над
law;закон
learn;навчитися
leave;залишити
left;зліва
let;нехай
letter;лист
level;рівень
life;життя
light blue;світло-блакитний
light brown;світло-коричневий
light gray;світло-сірий
light green;світло-зелений
like;як
line;лінія
listen to;слухати
long;довго
look;подивіться
lot;багато
loud;голосно
main;основний
maintainable;ремонтопридатний
make;зробити
man;людина
mark;знак
me;мене
mean;означає
member;член
might;могутність
mile;миля
minute;хвилина
modern;сучасний
moment;момент
money;гроші
month;місяць
morning;ранок
most;більшість
mother;мати
mountain;гора
much;багато
music;музика
my;мій
name;назва
narrow;вузькі
need;потреба
never;ніколи
new;новий
next;наступний
next to;поруч
night;ніч
no;немає
north;північ
not;ні
nothing;нічого
notice;повідомлення
now;тепер
number;номер
of;з
off;вимкнено
office;офіс
often;часто
old;старий
on;на
once;один раз
one;один
only;тільки
open;відчинено
opposite;протилежність
or;або
orange;помаранчевий
other;інший
our;наш
out;поза
over;закінчено
own;власні
paper;папір
parent;батькові
part;частина
party;вечірка
pear;груша
people;людей
performance;продуктивність
person;людина
picture;малюнок
place;місце
plant;завод
plate;плита
play;грати
plural;множина
point;точка
poor;бідний
pour;наливати
power;потужність
president;президент
press;преса
problem;проблема
program;програма
put;поставити
question;запитання
radio;радіо
rain;дощ
real;справжній
reason;причина
red;червоний
release;реліз
research;дослідження
result;результат
right;правильно
river;річка
room;кімната
rough;грубий
round;круглий
run;бігти
sad;сумний
same;те саме
save;зберегти
saw;пила
say;сказати
scar face;обличчя зі шрамом
scared;наляканий
scarf;шарф
school;школа
science;наука
sea;море
second;другий
see;побачити
seem;здається
service;обслуговування
set;встановити
share;частка
she;вона
shirt;сорочка
shoes;взуття
shorts;шорти
should;повинен
show;показати
shower;душ
sick;хворий
side;бік
similar;подібні
simply;просто
skirt;спідниця
slow-twitch;повільно скорочувальний
smooth;гладкий
so;так
some;деякі
something;щось
sound;звук
spell;заклинання
start;почати
state;стан
still;досі
stop;стій
story;історія
stranger;незнайомець
strength and capacity;міцність і місткість
student;студент
study;вивчення
such;такий
suitcase;валіза
suited for;підходить для
sun;сонце
sunrise;схід сонця
sure;впевнений
system;система
take;взяти
tame;ручний
teacher;викладач
team;команда
than;ніж
that;що
the;в
their;їх
them;їх
then;потім
there;там
these;ці
they;вони
thing;річ
think;думаю
this;це
those;ті
thought;думав
through;через
tick;галочка
time;час
tiny;крихітний
to;до
together;разом
too;теж
took;взяв
tree;дерево
trousers;брюки
try;спробувати
t-shirt;футболка
turn;поворот
tutor;репетитор
two;два
ugly;потворний
under;під
under water;під водою
until;поки
unwell;погане самопочуття
up;вгору
us;нас
use;використовувати
van;фургон
very;дуже
vowel;голосний
wait for;чекати
walk;ходити
wallet;гаманець
want;хочуть
war;війна
watch;дивитися
watch tv;дивитися телевізор
water;води
way;спосіб
we;ми
wear;знос
week;тиждень
well;ну
well;добре
what;що
when;коли
which;який
while;поки
white;білий
white pink;біло-рожевий
who;вооз
why;чому
wild;дикий
will;буде
with;з
woman;жінка
wood;деревина
word;слово
work;працювати
world;світ
would;би
x-ray;рентген
year;рік
yellow;жовтий
you;ви
your;ваш
